Time,Number,Sense,Counter,millis
8:42:00 PM,0,0,,
8:42:01 PM,0,0,,
8:42:02 PM,0,0,,
8:42:03 PM,0,0,,
8:42:04 PM,0,0,,
8:42:05 PM,0,0,,
8:42:06 PM,0,0,,
8:42:07 PM,0,0,,
8:42:08 PM,0,0,,
8:42:09 PM,0,0,,
8:42:10 PM,0,0,,
8:42:11 PM,0,0,,
8:42:12 PM,0,0,,
8:42:13 PM,0,0,,
8:42:14 PM,0,0,,
8:42:15 PM,0,0,,
8:42:16 PM,0,0,,
8:42:17 PM,0,0,,
8:42:18 PM,0,0,,
8:42:19 PM,0,0,,
8:42:20 PM,0,0,,
8:42:21 PM,0,0,,
8:42:22 PM,0,0,,
8:42:23 PM,0,0,,
8:42:24 PM,0,0,,
8:42:25 PM,0,0,,
8:42:26 PM,0,0,,
8:42:27 PM,0,0,,
8:42:28 PM,0,0,,
8:42:29 PM,0,0,,
8:42:31 PM,0,0,,
8:42:31 PM,0,0,,
8:42:32 PM,0,0,,
8:42:33 PM,0,1,,